,annual_income,age,employment_years,debt_to_income,credit_score,credit_utilization,num_open_accounts,num_credit_inquiries,loan_amount,interest_rate,loan_term_months,home_ownership,months_since_delinquency,total_credit_lines,revolving_balance,savings_balance,payment_history_score,num_dependents,previous_defaults,monthly_installment
29,27921.79,45.0,3.2,0.1839,596.0,0.2028,8,1,11909.0,7.08,36,0,0.0,11,2993.25,1304.08,80.5,1,0,368.15
30,104490.55,49.0,2.5,0.0188,729.0,0.3431,5,2,6732.46,5.29,48,1,0.0,7,375.74,282.13,61.3,1,0,155.93
31,33703.62,50.0,3.0,0.463,649.0,0.4762,7,4,14837.35,7.86,12,0,0.0,8,532.79,493.68,61.7,0,0,1289.72
32,57207.17,61.0,11.0,0.1367,538.0,0.3184,5,1,6776.35,6.57,12,0,23.0,6,3334.32,1432.32,67.5,0,0,584.99
33,33522.12,32.0,12.5,0.0617,566.0,0.1676,7,4,6541.34,9.56,48,0,19.0,12,397.87,1789.31,75.1,0,0,164.53
34,20807.77,43.0,6.0,0.1266,726.0,0.1049,4,3,7116.52,5.7,36,1,9.0,8,197.86,312.39,84.6,3,0,215.53
35,61943.23,43.0,4.1,0.0482,669.0,0.4681,2,1,7489.34,7.07,36,1,7.0,9,869.32,1308.58,92.0,0,0,231.49
36,175209.52,64.0,8.1,0.119,687.0,0.1408,6,3,39005.99,6.27,24,0,34.0,8,229.75,6119.12,65.5,1,0,1733.52
37,21094.03,40.0,2.3,0.1213,751.0,0.2324,5,2,5331.57,9.03,36,0,6.0,9,2177.7,4501.22,90.8,2,0,169.62
38,50305.82,51.0,3.9,0.1945,699.0,0.0906,5,1,7527.23,8.88,12,0,0.0,7,7878.12,7251.23,93.6,0,0,657.85
39,61360.98,47.0,14.6,0.0784,640.0,0.3876,4,1,8293.03,10.91,60,1,156.0,8,11045.28,232.42,48.8,0,1,179.94
40,28797.27,33.0,1.8,0.1517,621.0,0.352,5,2,11186.72,8.77,36,0,17.0,7,471.43,2242.28,85.2,0,0,354.54
41,25976.09,34.0,1.7,0.1013,637.0,0.1046,8,1,6765.57,8.94,36,1,46.0,11,218.78,263.12,83.7,0,0,214.95
42,18360.29,26.0,5.9,0.239,635.0,0.4701,2,4,6170.51,10.0,48,1,0.0,3,10460.22,2338.5,86.9,1,0,156.5
43,122694.12,46.0,4.1,0.0532,651.0,0.0837,3,3,24869.1,8.89,60,1,0.0,6,1447.39,4379.07,87.3,1,0,514.91
44,25659.09,26.0,5.3,0.1473,657.0,0.3384,5,0,12737.73,7.83,48,0,38.0,5,253.13,1983.19,78.9,1,0,309.95
45,56523.94,31.0,12.7,0.254,694.0,0.2133,4,4,12968.4,8.67,12,0,12.0,11,3204.06,1214.41,75.9,1,0,1132.12
46,29667.38,43.0,10.0,0.5182,717.0,0.0596,10,6,11374.35,6.07,12,0,0.0,15,15090.02,4526.34,94.5,2,0,979.32
47,22813.97,62.0,5.1,0.3484,656.0,0.3462,6,2,12195.96,7.69,24,0,0.0,8,5620.33,540.57,84.6,0,0,549.87
48,93388.08,30.0,4.5,0.0187,578.0,0.246,6,2,4766.42,10.39,60,0,4.0,10,2155.95,521.3,67.4,2,0,102.19
49,51493.99,45.0,4.9,0.1123,668.0,0.27,3,3,13561.4,9.71,36,1,18.0,5,2310.41,5376.11,87.5,1,0,435.74
50,36301.75,34.0,1.1,0.2536,736.0,0.1984,1,2,23535.82,7.29,36,1,8.0,4,1866.28,660.5,72.8,2,0,729.84
51,16716.92,29.0,1.1,0.1415,732.0,0.1123,5,1,7530.01,11.59,48,0,0.0,7,17.18,931.99,68.5,0,0,196.78
52,62021.68,31.0,3.5,0.1432,703.0,0.4102,7,2,8320.03,5.81,12,0,16.0,13,1241.73,3697.78,59.9,2,0,715.35
53,23255.4,53.0,5.8,0.0722,814.0,0.2677,1,1,2879.61,7.73,60,1,0.0,3,4097.75,1304.58,84.1,2,0,58.02
54,30599.19,34.0,7.7,0.1036,700.0,0.1549,4,1,9625.19,5.64,48,0,0.0,7,1985.03,391.01,89.5,0,0,224.46
55,32705.67,32.0,5.9,0.1026,653.0,0.0361,5,3,11074.93,8.62,60,1,15.0,9,2593.91,782.93,77.0,0,0,227.86
56,48357.68,45.0,10.6,0.1043,684.0,0.338,2,1,11975.91,9.99,36,1,0.0,6,1704.67,3865.42,78.7,1,0,386.37
57,59753.42,60.0,6.5,0.0876,824.0,0.3469,7,4,11048.79,5.21,48,1,0.0,9,9034.65,914.44,79.5,0,0,255.5
58,34386.55,45.0,7.2,0.0993,747.0,0.4109,5,5,10110.43,9.61,48,0,14.0,9,1496.92,165.9,62.0,1,0,254.54
59,44870.26,46.0,4.4,0.0487,704.0,0.2824,8,1,6554.59,9.52,48,0,13.0,12,863.87,1258.95,72.2,0,0,164.73
60,36889.77,45.0,5.0,0.3646,522.0,0.3749,6,2,12171.37,11.08,12,0,4.0,12,2228.33,3700.86,94.7,0,0,1076.18
61,65636.4,26.0,12.1,0.4354,788.0,0.3443,6,3,18560.35,6.62,24,0,32.0,10,77687.55,9305.96,86.9,0,0,827.8
62,41633.22,29.0,3.2,0.1951,735.0,0.2099,6,4,18047.36,4.99,36,0,20.0,9,6811.88,361.04,72.9,0,0,540.81
63,54499.89,64.0,12.0,0.3941,786.0,0.2857,6,3,38249.24,7.2,24,0,0.0,6,3684.12,3470.81,75.4,2,0,1715.99
64,29203.96,28.0,11.3,0.1772,759.0,0.0619,4,2,7275.14,8.21,48,0,12.0,7,12641.23,3272.51,69.4,0,0,178.33
65,63619.48,36.0,3.4,0.0613,772.0,0.3613,2,4,5712.05,9.78,36,1,0.0,5,7056.67,612.25,84.0,1,0,183.72
66,41502.81,34.0,4.9,0.0417,750.0,0.0766,7,1,6325.91,9.56,60,0,0.0,7,558.58,291.76,63.0,2,0,133.04
67,38518.19,29.0,13.4,0.0991,616.0,0.062,3,2,13012.21,7.41,48,0,0.0,5,203.11,832.14,78.3,0,0,314.07
68,88781.25,65.0,6.1,0.0356,558.0,0.0415,1,4,5106.93,8.42,24,1,0.0,2,1587.66,450.09,81.0,1,0,231.95
69,38461.62,61.0,9.2,0.0968,601.0,0.3168,4,2,7794.96,9.43,36,0,16.0,5,3042.43,1951.04,89.3,3,0,249.44
70,36081.73,64.0,3.8,0.1674,737.0,0.4209,5,2,15430.0,10.09,36,1,2.0,10,247.57,2181.78,83.6,0,0,498.53
71,15630.73,29.0,0.8,0.2603,732.0,0.1087,7,2,7101.07,10.48,60,0,1.0,8,9322.49,176.52,68.2,2,0,152.56
72,18590.61,41.0,1.6,0.1669,614.0,0.528,7,3,8623.03,7.23,48,1,0.0,8,2558.92,250.68,75.0,0,0,207.41
73,30627.12,63.0,7.0,0.147,660.0,0.5074,6,2,11863.44,6.8,36,1,0.0,6,497.18,1719.9,76.7,0,0,365.22
74,78211.0,46.0,6.3,0.1038,658.0,0.4316,10,3,11588.41,9.9,24,1,0.0,15,7110.7,3326.35,66.2,2,0,534.21
75,63851.08,62.0,6.3,0.0517,555.0,0.4593,4,4,9566.13,11.01,48,1,7.0,10,1391.74,7860.1,100.0,2,0,247.29
76,18668.54,30.0,0.9,0.1592,773.0,0.5483,3,5,5633.47,8.35,60,1,0.0,5,6626.31,125.8,78.3,1,0,115.17
77,62475.75,60.0,3.5,0.0515,654.0,0.4031,3,1,11858.58,10.98,60,1,0.0,9,516.4,2099.51,62.6,3,0,257.72
78,43218.07,49.0,2.6,0.1067,706.0,0.3672,0,2,7449.2,5.87,24,0,27.0,4,2727.56,680.2,76.5,0,0,329.72
79,41731.92,49.0,2.6,0.1993,703.0,0.1496,4,2,12230.94,6.79,48,1,16.0,5,20077.81,3754.5,84.8,1,0,291.69
80,36751.95,42.0,2.6,0.053,725.0,0.2728,6,2,5056.06,8.5,36,1,32.0,11,143.07,1485.85,84.4,1,0,159.61
81,63323.61,34.0,23.3,0.2555,674.0,0.2765,7,2,15176.33,10.15,12,0,13.0,12,651.51,1169.79,88.9,1,0,1335.3
82,92887.03,60.0,7.3,0.0452,699.0,0.4896,5,3,12761.98,4.85,48,1,39.0,8,2834.31,4143.4,72.6,0,0,293.03
83,55212.91,23.0,0.2,0.0626,709.0,0.0994,5,2,11534.95,9.02,48,0,0.0,7,47.16,614.42,67.5,0,0,287.16
84,21206.87,58.0,5.8,0.1012,648.0,0.4254,5,1,5949.95,11.14,48,1,6.0,8,1231.29,208.37,80.8,2,0,154.18
85,38322.93,31.0,5.0,0.0747,617.0,0.128,6,3,6379.68,10.64,36,0,39.0,6,1535.15,2267.28,78.9,1,0,207.78
86,72172.1,40.0,1.6,0.0478,543.0,0.2431,5,1,7569.09,11.8,36,1,0.0,8,1848.64,810.6,73.7,1,0,250.68
87,44951.42,40.0,7.7,0.0674,706.0,0.4012,4,1,7869.42,7.88,36,0,0.0,6,315.4,1299.03,63.5,0,1,246.16
88,95364.12,64.0,6.5,0.1285,638.0,0.0486,2,4,19607.44,8.77,24,0,0.0,4,6383.91,356.38,83.3,0,0,893.69
89,28014.33,63.0,9.8,0.2705,659.0,0.3558,8,2,29310.33,10.34,60,0,0.0,12,192.51,1500.36,93.5,1,0,627.67
90,37634.12,23.0,2.9,0.0642,655.0,0.1736,6,1,6513.12,5.74,36,0,33.0,7,190.61,1909.12,72.3,2,0,197.38
91,69258.32,24.0,2.0,0.0761,647.0,0.1074,4,1,9869.27,9.25,36,1,0.0,7,6222.78,3088.17,54.9,3,1,314.99
92,26225.91,58.0,4.4,0.2023,746.0,0.2456,4,4,9520.43,4.52,24,1,27.0,5,1322.34,387.95,84.0,2,0,415.63
93,188651.72,33.0,14.5,0.0989,705.0,0.0978,4,2,33178.11,7.83,24,0,0.0,7,2865.54,2038.91,68.6,0,0,1497.98
94,47840.99,60.0,9.6,0.2375,776.0,0.3796,6,4,4714.84,6.76,48,0,15.0,8,41717.55,3274.64,63.9,1,0,112.38
95,47304.94,29.0,9.3,0.3259,676.0,0.1139,2,1,41935.79,5.52,36,0,51.0,4,907.96,193.63,79.4,0,0,1266.67
96,40390.78,25.0,4.8,0.1996,598.0,0.1707,3,2,13425.69,5.56,24,1,0.0,5,3980.91,1404.26,57.2,2,0,592.38
97,31628.17,30.0,3.4,0.0578,676.0,0.4482,8,3,7614.01,6.99,60,1,0.0,12,78.25,2241.5,74.2,5,0,150.73
98,48798.26,26.0,1.6,0.0898,558.0,0.4317,7,3,6996.03,8.07,36,0,7.0,9,7289.2,3233.86,62.5,1,0,219.46
99,33027.27,65.0,7.2,0.1235,693.0,0.0616,2,2,3799.31,6.04,12,1,0.0,5,649.02,4557.62,68.6,1,0,327.06
100,65039.27,64.0,9.3,0.1226,672.0,0.0823,4,0,13934.69,9.72,24,0,10.0,9,1155.75,966.15,58.1,0,0,641.22
101,30748.58,33.0,7.8,0.1349,589.0,0.0459,3,1,4769.75,9.54,48,0,0.0,5,11288.9,234.1,78.9,1,0,119.92
102,67923.42,53.0,7.6,0.1024,837.0,0.2422,8,3,17232.43,9.48,36,0,0.0,11,1401.74,1017.74,73.7,1,0,551.84
103,17867.43,48.0,11.0,0.1721,824.0,0.3195,4,4,10374.23,6.23,48,1,21.0,7,575.73,1070.94,76.0,0,0,244.73
104,26237.12,43.0,4.9,0.187,555.0,0.4005,6,5,8972.76,9.32,36,0,0.0,9,6105.73,2507.35,78.6,1,0,286.67
105,118035.03,27.0,4.8,0.0722,647.0,0.1518,6,6,27847.01,6.19,48,0,4.0,10,2677.19,1506.07,70.3,2,0,656.42
106,47115.76,62.0,6.4,0.0628,711.0,0.4428,2,4,6426.12,11.61,60,1,0.0,4,5238.19,5142.24,81.6,1,0,141.68
107,30917.98,43.0,2.1,0.153,649.0,0.2225,4,1,8781.99,12.25,36,0,0.0,9,5076.31,1578.1,87.1,1,0,292.74
108,85093.62,65.0,8.2,0.0815,592.0,0.1026,5,1,6377.82,8.56,12,1,0.0,6,1059.73,900.48,61.2,3,0,556.45
109,17552.33,51.0,12.3,0.1687,690.0,0.165,6,2,6516.61,7.62,36,1,0.0,13,2186.11,145.29,100.0,0,0,203.07
110,54524.55,33.0,1.3,0.056,776.0,0.5012,6,0,11632.41,8.0,60,0,5.0,8,929.1,643.23,77.2,1,0,235.86
111,64798.11,41.0,4.0,0.1209,607.0,0.0635,6,6,14227.99,5.78,24,0,4.0,10,1196.17,600.86,57.9,1,0,629.18
112,26526.86,27.0,3.2,0.0579,684.0,0.5458,6,5,3238.89,10.67,36,0,0.0,7,1122.74,624.88,81.3,0,0,105.53
113,83147.34,43.0,9.5,0.0385,573.0,0.0543,4,2,7585.99,12.31,48,0,3.0,9,3309.08,213.85,82.4,1,0,200.92
114,54500.25,52.0,2.6,0.0794,688.0,0.4265,5,2,9162.74,8.58,36,0,0.0,9,3546.42,4437.71,69.0,0,0,289.58
115,49137.91,35.0,3.2,0.0426,770.0,0.2366,2,7,8895.35,4.83,60,0,0.0,6,364.92,944.21,47.5,0,1,167.17
116,27204.25,33.0,2.7,0.2135,632.0,0.3159,9,0,12850.41,10.47,36,0,0.0,11,3321.09,4951.97,78.2,0,0,417.49
117,44491.73,63.0,5.7,0.1036,599.0,0.2497,4,1,12287.31,6.38,60,1,0.0,7,7212.07,2748.68,76.7,0,0,239.73
118,24201.11,47.0,3.3,0.4128,704.0,0.4297,4,4,17497.21,10.14,24,1,33.0,7,1197.72,287.3,81.0,0,0,808.54
119,32562.6,27.0,6.2,0.2062,762.0,0.2438,6,3,12530.49,3.05,24,1,0.0,8,1040.1,466.42,53.7,0,1,538.85
120,28837.36,52.0,7.6,0.261,543.0,0.4289,7,3,6920.86,8.66,36,1,5.0,9,20416.52,1337.77,68.2,2,0,218.99
121,25432.44,41.0,4.3,0.2198,692.0,0.2484,4,2,14074.68,10.39,48,0,0.0,6,5312.07,303.59,70.8,2,0,359.61
122,36852.43,40.0,8.9,0.1223,732.0,0.0473,5,1,15857.36,5.93,48,0,0.0,10,190.82,900.45,92.9,1,0,371.9
123,25496.1,47.0,6.3,0.1222,703.0,0.3427,4,4,5817.67,5.89,24,0,0.0,7,107.16,534.01,55.6,1,0,257.55
124,17363.95,35.0,3.1,0.3575,638.0,0.2414,6,0,14163.9,13.03,36,1,0.0,10,1993.13,1477.03,70.6,0,0,477.44
125,49813.56,51.0,2.7,0.1096,708.0,0.0343,6,2,3122.97,6.64,12,1,16.0,8,9271.92,2613.64,89.2,3,0,269.7
126,58191.25,48.0,13.9,0.055,630.0,0.1102,8,1,6445.06,10.88,48,0,23.0,9,5016.81,1376.92,70.0,0,0,166.2
127,101694.71,51.0,4.3,0.0921,689.0,0.2543,5,1,23854.59,9.24,36,0,25.0,6,948.96,3017.57,66.9,0,0,761.24
128,91808.19,42.0,5.1,0.2321,655.0,0.4753,5,2,13385.83,5.18,12,0,0.0,8,31442.4,1642.27,77.8,2,0,1147.03
129,30069.2,49.0,7.9,1.0058,525.0,0.4525,4,3,9152.98,10.03,60,0,0.0,12,116282.7,1311.1,67.7,4,0,194.61
130,37904.99,55.0,4.0,0.0637,721.0,0.1332,5,1,7502.05,10.04,48,1,0.0,11,545.14,1468.66,61.4,0,1,190.42
131,47823.12,42.0,2.3,0.2222,704.0,0.2893,2,2,13698.29,9.57,24,1,0.0,7,12803.07,131.94,84.1,1,0,629.39
132,34696.38,31.0,4.1,0.2454,569.0,0.5783,5,1,17418.1,13.32,36,0,112.0,11,5995.17,2274.19,79.6,0,0,589.57
133,57393.35,26.0,5.1,0.1809,689.0,0.3334,2,1,27343.6,8.4,36,0,0.0,7,163.49,2105.9,83.3,0,0,861.9
134,106276.55,44.0,9.4,0.0142,643.0,0.2074,7,1,3039.53,8.32,36,1,14.0,11,1522.69,1461.79,70.1,1,0,95.7
135,121550.78,51.0,4.4,0.0291,761.0,0.6526,5,3,5132.74,6.26,36,0,12.0,9,6923.61,315.37,89.2,1,0,156.75
136,61771.23,58.0,9.7,0.2512,766.0,0.0598,8,2,27251.97,8.8,24,1,0.0,11,2516.39,1583.89,55.2,0,0,1242.5
137,31858.91,30.0,3.8,0.0786,597.0,0.1303,4,2,7908.97,8.92,48,0,0.0,9,607.59,313.59,64.9,0,1,196.51
138,32619.77,49.0,2.6,0.1173,699.0,0.2984,7,4,6393.25,10.58,24,0,0.0,13,1109.91,809.36,87.9,2,0,296.73
139,31688.34,30.0,6.4,0.2216,497.0,0.1728,5,3,6180.42,10.76,12,1,40.0,8,1987.84,952.12,34.0,1,1,545.54
140,41981.19,47.0,8.9,0.3187,674.0,0.4156,4,1,18754.85,9.7,36,0,0.0,7,25623.16,3553.59,81.9,4,0,602.53
141,56314.64,35.0,10.7,0.0609,518.0,0.4863,1,3,8578.4,11.88,48,0,10.0,6,3023.01,482.89,80.8,0,0,225.4
142,53228.64,43.0,3.1,0.0952,658.0,0.2143,8,2,7640.14,11.12,24,1,9.0,9,3287.22,3206.84,96.3,2,0,356.52
143,26105.59,33.0,27.3,0.111,548.0,0.3897,2,2,8349.12,8.41,48,0,0.0,9,1806.81,376.86,63.2,0,0,205.44
144,9418.68,38.0,4.2,1.4062,690.0,0.5513,8,0,12496.09,7.53,12,1,25.0,10,972.54,961.06,67.0,0,0,1084.3
145,73552.45,56.0,7.1,0.229,691.0,0.1681,6,4,16219.92,5.35,12,0,0.0,8,634.52,477.66,94.2,2,1,1391.15
146,13332.37,24.0,5.5,0.4901,695.0,0.1279,6,5,5215.31,7.52,24,0,0.0,7,15489.0,1543.69,91.7,2,0,234.73
147,45992.89,50.0,6.6,0.1386,480.0,0.3446,2,2,15569.98,8.65,48,0,1.0,8,7310.23,342.74,32.3,2,1,384.88
148,67904.48,60.0,3.1,0.0489,713.0,0.6782,2,1,11719.75,13.14,60,0,0.0,6,460.9,1616.13,98.5,0,0,267.5
149,56131.47,30.0,2.4,0.0612,560.0,0.3131,3,2,6237.64,8.17,24,1,0.0,4,180.27,745.59,99.0,2,0,282.6
150,63259.23,60.0,17.4,0.0616,536.0,0.3317,8,4,9759.06,10.58,36,0,17.0,12,366.84,209.72,80.9,3,0,317.56
151,31810.54,38.0,2.6,0.1985,653.0,0.175,4,2,6141.78,4.51,12,1,0.0,8,89.29,7233.18,96.3,0,0,524.4
152,51322.88,43.0,12.1,0.1447,685.0,0.2187,7,3,13825.26,3.92,24,1,0.0,7,950.49,529.35,72.5,0,0,599.87
153,47740.81,64.0,13.6,0.2246,584.0,0.1831,7,5,26390.54,13.08,36,1,0.0,10,160.37,613.46,96.4,2,0,890.22
154,40754.41,31.0,3.3,0.0393,789.0,0.3917,5,2,4517.71,9.85,48,1,0.0,9,952.73,2307.54,77.3,2,0,114.26
155,42428.78,58.0,3.4,0.3459,555.0,0.4792,3,2,14029.93,7.71,12,0,7.0,5,225.62,306.73,85.2,2,0,1218.56
156,48315.3,46.0,6.3,0.1391,794.0,0.2017,6,5,10298.02,4.86,24,1,0.0,9,5445.54,5171.36,84.6,1,0,451.14
157,36054.15,28.0,2.9,0.2036,778.0,0.2,5,4,19042.34,7.28,36,0,0.0,6,1067.21,2200.48,76.6,1,0,590.41
158,102015.98,25.0,3.2,0.0286,644.0,0.4756,2,0,7735.43,6.1,36,0,0.0,3,382.01,2927.89,90.2,0,0,235.68
159,70585.46,26.0,2.4,0.0399,532.0,0.493,4,2,4822.68,9.95,24,1,5.0,6,604.63,3314.37,62.2,1,0,222.43
160,44012.57,59.0,8.2,0.0894,695.0,0.2033,9,3,15429.82,9.94,60,1,21.0,11,23.02,2151.31,71.8,2,0,327.38
161,53567.43,35.0,4.4,0.1212,736.0,0.4029,1,2,11473.62,8.2,24,0,0.0,3,1045.96,1151.07,70.0,1,0,519.97
162,52725.78,53.0,8.5,0.3646,660.0,0.3695,5,5,17984.4,8.27,12,0,0.0,9,1776.22,1253.1,57.8,2,0,1566.68
163,14291.43,40.0,2.7,0.4065,811.0,0.1835,5,5,10612.67,6.52,24,0,3.0,8,563.93,372.44,42.9,1,1,472.85
164,51789.97,56.0,2.7,0.0681,786.0,0.5702,5,0,12300.88,9.61,60,0,0.0,7,1750.06,4156.7,62.9,0,0,259.0
165,22459.25,45.0,2.5,0.1284,777.0,0.0788,6,1,5278.47,8.02,36,0,7.0,13,3742.28,2367.71,36.3,3,1,165.46
166,56863.71,48.0,2.9,0.2207,705.0,0.051,3,6,11553.18,8.69,12,1,0.0,7,1857.2,1600.3,84.8,1,0,1008.68
167,72526.98,47.0,6.6,0.0556,758.0,0.2313,5,4,9257.12,9.73,36,0,20.0,12,1935.02,4069.82,77.9,2,0,297.53
168,48456.76,55.0,3.0,0.0667,656.0,0.1556,7,0,5804.03,10.35,24,1,39.0,9,24.42,2435.69,89.8,0,0,268.77
169,44326.91,40.0,4.2,0.1124,618.0,0.2553,3,1,13618.37,10.35,48,0,16.0,3,3380.81,1341.46,64.7,0,0,347.69
170,39184.24,50.0,7.7,0.0588,583.0,0.438,2,6,6426.38,14.44,48,0,17.0,3,749.15,2062.19,86.5,1,0,177.03
171,29013.5,63.0,3.6,0.0769,736.0,0.0832,4,2,6442.4,8.24,60,1,4.0,8,2727.13,1401.5,100.0,0,0,131.37
172,48316.11,62.0,4.0,0.2541,606.0,0.3651,4,1,13913.3,5.91,24,1,0.0,10,20341.9,2311.78,84.5,0,0,616.08
173,110695.18,48.0,3.2,0.0524,843.0,0.1451,6,1,10735.27,6.98,24,0,0.0,10,123.74,1524.38,62.9,1,1,480.55
174,71410.65,23.0,6.0,0.0563,695.0,0.416,8,0,9659.96,9.02,36,1,0.0,10,1383.2,6823.78,93.0,1,0,307.27
175,73351.05,64.0,3.4,0.0535,668.0,0.1604,3,1,9580.26,9.42,36,0,53.0,7,1018.72,429.41,89.4,1,0,306.53
176,17883.15,23.0,12.8,1.3885,657.0,0.5376,3,3,6806.49,9.58,24,0,3.0,8,87822.82,244.94,82.8,1,0,312.77
177,46966.35,37.0,8.2,0.2479,649.0,0.2224,6,3,21967.71,8.14,36,1,0.0,10,14020.43,8958.03,79.5,2,0,689.81
178,66422.83,28.0,8.5,0.0848,726.0,0.0315,5,0,14498.06,9.84,36,1,28.0,10,124.63,1076.13,94.7,1,0,466.72
179,143773.29,63.0,5.4,0.0945,666.0,0.3144,4,1,11384.46,6.98,12,1,0.0,6,7367.16,601.49,64.2,2,0,984.96
180,65231.0,41.0,3.4,0.0727,687.0,0.2565,8,1,15715.48,8.93,48,1,5.0,13,228.6,271.83,75.0,1,0,390.56
181,93504.19,63.0,6.6,0.0547,603.0,0.2427,3,2,15408.39,7.15,60,1,0.0,3,6007.97,5080.39,82.9,1,0,306.2
182,22267.15,36.0,1.3,0.0716,525.0,0.2118,4,2,2935.81,10.33,36,0,23.0,8,1885.47,2163.73,58.4,0,0,95.19
183,129290.62,61.0,11.3,0.0437,740.0,0.03,2,3,10418.65,9.26,36,0,57.0,3,6892.46,1078.49,77.8,1,0,332.57
184,70912.77,58.0,16.6,0.2622,748.0,0.3567,9,2,12802.53,10.99,60,1,0.0,10,63568.14,1101.99,99.6,1,0,278.29
185,110928.09,27.0,3.4,0.0561,702.0,0.2283,4,2,5231.71,7.31,12,1,0.0,8,3280.88,590.17,69.0,0,1,453.43
186,31935.92,25.0,2.7,0.0648,699.0,0.3951,7,3,4640.14,8.0,36,0,22.0,9,1356.36,732.47,68.4,1,0,145.41
